request_id,arrival_time,completion_time,wait_time,ttft,preemptions,actual_blocks,predicted_mu,predicted_sigma
1,1.02,2.0,0.98,0.98,0,1,1.193,0.231
2,1.301,4.0,1.699,1.699,0,5,5.946,1.155
4,2.978,5.0,2.022,2.022,0,1,1.0,0.231
3,2.43,10.0,3.57,3.57,1,18,12.052,4.157
5,3.243,15.0,7.757,7.757,1,20,12.425,4.619
9,4.484,17.0,11.516,11.516,1,5,3.861,1.155
6,3.465,22.0,14.535,14.535,1,18,16.841,4.157
8,4.068,24.0,18.932000000000002,18.932000000000002,0,6,6.951,1.386
7,4.061,27.0,20.939,20.939,0,9,11.228,2.078
10,5.925,28.0,22.075,22.075,1,4,2.697,0.924
11,6.027,31.0,22.973,22.973,0,12,12.996,2.771
12,7.673,35.0,24.326999999999998,24.326999999999998,0,15,15.435,3.464
13,11.289,39.0,24.711,24.711,1,13,8.62,3.002
15,12.085,41.0,27.915,27.915,0,7,8.146,1.617
16,12.132,43.0,29.868000000000002,29.868000000000002,0,8,9.748,1.848
14,11.636,48.0,32.364000000000004,32.364000000000004,0,20,26.167,4.619
23,19.444,49.0,29.556,29.556,1,2,1.566,0.462
20,18.388,50.0,31.612,31.612,0,3,3.262,0.693
17,16.346,52.0,34.653999999999996,34.653999999999996,0,8,10.345,1.848
19,17.278,55.0,35.722,35.722,1,12,10.611,2.771
18,16.825,59.0,39.175,39.175,0,15,16.628,3.464
21,18.575,61.0,41.425,41.425,1,8,5.846,1.848
44,36.013,62.0,25.987000000000002,25.987000000000002,0,1,1.079,0.231
24,19.477,65.0,43.522999999999996,43.522999999999996,1,11,10.13,2.54
32,24.615,66.0,41.385000000000005,41.385000000000005,1,4,2.889,0.924
22,19.052,71.0,47.948,47.948,1,18,13.962,4.157
26,19.923,75.0,52.077,52.077,1,16,14.664,3.695
25,19.546,80.0,56.454,56.454,0,19,24.721,4.388
56,46.554,81.0,34.446,34.446,0,1,1.071,0.231
36,26.04,82.0,55.96,55.96,0,4,4.581,0.924
27,22.383,86.0,60.617000000000004,60.617000000000004,1,15,10.714,3.464
28,22.534,91.0,64.46600000000001,64.46600000000001,0,18,18.561,4.157
30,24.418,93.0,67.582,67.582,0,8,11.183,1.848
31,24.567,97.0,69.43299999999999,69.43299999999999,1,16,10.764,3.695
29,23.908,101.0,74.092,74.092,0,14,18.456,3.233
33,24.789,105.0,77.211,77.211,0,14,15.08,3.233
37,26.81,108.0,79.19,79.19,0,9,10.934,2.078
38,27.225,111.0,81.775,81.775,1,10,9.478,2.309
34,25.275,116.0,86.725,86.725,0,20,27.938,4.619
58,48.046,117.0,68.95400000000001,68.95400000000001,1,2,1.566,0.462
35,26.028,122.0,91.97200000000001,91.97200000000001,0,18,23.195,4.157
42,32.018,124.0,90.982,90.982,1,7,5.056,1.617
39,27.83,127.0,97.17,97.17,0,9,12.398,2.078
40,29.265,132.0,98.735,98.735,0,17,22.612,3.926
45,36.683,133.0,96.31700000000001,96.31700000000001,0,4,5.373,0.924
71,66.512,134.0,67.488,67.488,0,1,1.375,0.231
41,31.31,137.0,103.69,103.69,0,10,12.733,2.309
55,46.488,138.0,91.512,91.512,1,4,3.193,0.924
43,33.456,143.0,105.544,105.544,0,18,24.53,4.157
46,38.793,146.0,105.207,105.207,1,10,7.916,2.309
65,53.051,147.0,93.949,93.949,1,4,2.594,0.924
57,46.815,149.0,101.185,101.185,1,8,4.846,1.848
66,54.354,150.0,95.646,95.646,1,4,3.196,0.924
48,39.158,154.0,111.842,111.842,0,16,20.045,3.695
70,59.272,155.0,95.72800000000001,95.72800000000001,1,4,2.562,0.924
47,39.068,160.0,116.932,116.932,0,19,25.794,4.388
63,51.307,161.0,109.693,109.693,0,4,4.509,0.924
52,43.842,163.0,118.158,118.158,0,7,9.402,1.617
53,45.25,165.0,118.75,118.75,0,7,8.193,1.617
54,45.759,168.0,120.241,120.241,1,12,11.406,2.771
49,42.974,173.0,126.02600000000001,126.02600000000001,0,18,21.828,4.157
50,43.111,177.0,130.889,130.889,0,16,21.72,3.695
51,43.292,182.0,134.708,134.708,0,17,22.065,3.926
59,50.404,185.0,132.596,132.596,1,11,7.224,2.54
60,50.676,189.0,135.324,135.324,1,16,12.342,3.695
64,51.745,193.0,138.255,138.255,1,14,13.631,3.233
61,50.818,198.0,143.18200000000002,143.18200000000002,0,19,20.158,4.388
